no,id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,id_pengguna,minat
79,V541,Lapangan Bola Voli Mandungan,-7.7572631,110.3113875,"68V6+3HR, Jalan, Mandungan I, Margoluwih, Sleman Regency",Margoluwih,Sleman,4.9,8,P31,voli
86,V995,Lapangan Bola Voli Dwarapala,-7.7848328,110.3182835,"Jl. Mejing Lor, RT.01/RW.02, Mejing Lor, Ambarketawang, Kabupaten Sleman",Ambarketawang,Sleman,4.8,13,P32,voli
91,S124,Lapangan Nglempong Sariharjo Tengah,-7.7387778,110.3828315,"796M+F4P, Tambak Rejo, Sariharjo, Kabupaten Sleman",Sariharjo,Sleman,4.7,16,P33,sepak bola
92,S285,Lapangan Sepak Bola Kentungan,-7.7496927,110.3859506,"Kaliurang St No.Km 6,5, Kentungan, Condongcatur, Sleman Regency",Condongcatur,Sleman,4.4,18,P34,sepak bola
93,S379,Lapangan Ft Uny,-7.7686883,110.3883267,"69JQ+G8G, Karang Gayam, Caturtunggal, Sleman Regency",Caturtunggal,Sleman,4.9,8,P35,sepak bola
94,S798,Lapangan Lempongsari,-7.7387743,110.3826984,"796M+F3W, Randuguang, Sariharjo, Kabupaten Sleman",Sariharjo,Sleman,3.9,17,P36,sepak bola
110,S100,Lapangan Kayen Wedomartani Ngemplak Sleman Yogyakarta,-7.7363046,110.421343,"Jl. Stadion Jl. Kayen Raya No.RT03/40, Blotan, Wedomartani, Kabupaten Sleman",Wedomartani,Sleman,4.5,14,P37,sepak bola
114,V193,Lapangan Bintang Utara,-7.7277451,110.4396199,"7CCQ+WR5, Jalan, Gondang Legi, Wedomartani, Sleman Regency",Wedomartani,Sleman,4.7,9,P38,voli
119,B36,Lapangan Basket Donoharjo Basketball Court,-7.6900411,110.3891917,"Gondong, Donoharjo, Sleman Regency",Donoharjo,Sleman,5.0,18,P39,basket
137,S666,Gelora Hargobinangun,-7.6021421,110.4227766,"9CXF+44R, Kaliurang Barat, Kaliurang, Hargobinangun, Kabupaten Sleman",Hargobinangun,Sleman,4.8,4,P40,sepak bola
138,S271,Lapangan Mini Soccer Kepuharjo,-7.6271688,110.4468076,"9CFW+4PM, Pager Jurang, Kepuharjo, Kabupaten Sleman",Kepuharjo,Sleman,4.6,10,P41,sepak bola
139,T756,Lapangan Tenis Sumber Baru,-7.5954785,110.4300099,"CC3J+R22, Kaliurang, Hargobinangun, Kabupaten Sleman",Hargobinangun,Sleman,4.9,19,P42,tenis
142,S404,Lapangan Desa Talun,-7.6486015,110.4933945,"9F2V+H92, Jl.macan kumbang, Ngemplak, Talun, Kabupaten Klaten",Talun,Klaten,4.7,6,P43,sepak bola
143,V351,Lapangan Scivo,-7.6858195,110.4513671,"8F72+MGH, Balong, Bimomartani, Kabupaten Sleman",Bimomartani,Sleman,4.7,15,P44,voli
147,F306,Jambumarong Futsalland,-7.771881,110.2465994,"66HW+6JX, Kaliduren 3, Sumberagung, Sleman Regency",Sumberagung,Sleman,4.3,3,P45,futsal
160,F165,Rubic Futsal And Sport,-7.7644936,110.4032139,"6CP3+674, Jl. Wahid Hasyim, Ngropoh, Condongcatur, Kabupaten Sleman",Condongcatur,Sleman,5.0,15,P46,futsal
169,F73,Sport Center,-7.6852532,110.4178528,"8C79+V4X, Ngemplak, Umbulmartani, Kabupaten Sleman",Umbulmartani,Sleman,5.0,3,P47,futsal
178,C202,Lapangan Rejosari,-7.7294323,110.2426903,"76CV+63G, Ngoro Oro, Plombangan, Sendangagung, Kabupaten Sleman",Sendangagung,Sleman,4.4,14,P48,badminton
185,C854,Sewa Lapangan Badminton Bulutangkis Patukan,-7.7945596,110.3227785,"684F+54H, Jl. Gamping Tengah, Patukan, Ambarketawang, Kabupaten Sleman",Ambarketawang,Sleman,4.5,17,P49,badminton
196,C988,Lapangan Badminton Blotan,-7.7360295,110.4157531,"Jl. Blotan Sono No.1, RW.06, Blotan, Wedomartani, Kabupaten Sleman",Wedomartani,Sleman,4.6,7,P50,badminton
197,C468,Kpmb Arena Lap Badminton  Gedung Serbaguna,-7.7657058,110.4032582,"Jl. Wahid Hasyim, Ngropoh, Condongcatur, Kabupaten Sleman",Condongcatur,Sleman,4.8,19,P51,badminton
201,C174,Lapangan Badminton Jogotirto,-7.8145196,110.4687225,"5FP9+5FX, Rejosari, Jogotirto, Kabupaten Sleman",Jogotirto,Sleman,3.8,6,P52,badminton
202,C34,Lapangan Badminton Pab Diy,-7.7790052,110.4532459,"6FC3+97X, Cupuwatu I, Purwomartani, Kabupaten Sleman",Purwomartani,Sleman,4.8,6,P53,badminton
206,C795,Gedung Aula Muslimin Kranggan,-7.8172215,110.4802231,"Jl. Kranggan No.2, Krnggan 2, Jogotirto, Kabupaten Sleman",Jogotirto,Sleman,4.7,15,P54,badminton
207,C812,Lapangan Badminton Moy,-7.6769542,110.4641859,"8FF7+6M7, Cangkringan, Argomulyo, Kabupaten Sleman",Argomulyo,Sleman,4.8,12,P55,badminton
210,C637,Gor Kitta Badminton Academy,-7.7314921,110.3955357,"Kaliurang St No.8, Dayu, Sinduharjo, Sleman Regency",Sinduharjo,Sleman,5.0,9,P56,badminton
212,C619,May Badminton Sport,-7.7353593,110.3649098,"7977+VXR, Jl. Jongke, Jongke Tengah, Sendangadi, Kabupaten Sleman",Sendangadi,Sleman,3.1,18,P57,badminton
213,C971,Gor Gama Asri,-7.6429095,110.3714565,"994C+RHW, Gg. Flamboyan, Gamasari, Donokerto, Kabupaten Sleman",Donokerto,Sleman,4.3,16,P58,badminton
217,S840,Lapangan Balong,-8.0316281,110.401662,"XC92+8MV, Widoro, Giripurwo, Kabupaten Gunung Kidul",Giripurwo,Gunung Kidul,4.6,14,P59,sepak bola
219,S381,Lapangan Gebang,-7.9996764,110.426863,"2C2G+4PH, Gebang, Girisuko, Kabupaten Gunung Kidul",Girisuko,Gunung Kidul,3.8,6,P60,sepak bola
220,V131,Bangun Putra Banyusoca Volleyball Field,-7.9712004,110.4687445,"2FH9+GF9, Unnamed Road, Banyusoco, Kabupaten Gunung Kidul",Banyusoco,Gunung Kidul,4.0,3,P61,voli
221,S40,Lapangan Tlogo Gede,-8.0325122,110.4656977,"XF88+X7W, Unnamed Road, Blimbing, Girisekar, Kabupaten Gunung Kidul",Girisekar,Gunung Kidul,4.8,8,P62,sepak bola
222,V826,Lap Garuda  Volly Ball Club,-7.9881776,110.4541297,"2F63+PMC, Klepu, Banyusoco, Kabupaten Gunung Kidul",Banyusoco,Gunung Kidul,4.1,9,P63,voli
226,V546,Volleyball Court,-8.036093,110.448557,"XC7X+HC7, Macan Mati, Girimulyo, Kabupaten Gunung Kidul",Girimulyo,Gunung Kidul,3.6,9,P64,voli
228,V429,Kedungwanglu Volleyball Field,-7.9661586,110.4468776,"2CMW+GQJ, Kedungwanglu, Banyusoco, Kabupaten Gunung Kidul",Banyusoco,Gunung Kidul,4.8,4,P65,voli
229,V590,Lapangan Bola Voli Krida Manggala,-8.0454725,110.4631447,"XF37+V76, Bali, Girisekar, Kabupaten Gunung Kidul",Girisekar,Gunung Kidul,4.7,7,P66,voli
230,S206,Lapangan Jambe,-8.0312872,110.3679778,"X999+F5Q, Area Hutan, Giricahyo, Kabupaten Gunung Kidul",Giricahyo,Gunung Kidul,4.5,17,P67,sepak bola
231,S197,Lapangan Nglarangan,-8.0192418,110.367448,"X9J8+8X4, Area Hutan, Giricahyo, Kabupaten Gunung Kidul",Giricahyo,Gunung Kidul,3.8,10,P68,sepak bola
232,V265,Lapangan Voli Rt  Rw  Dusun Wuni,-8.0242241,110.3598922,"X9G5+8X6, Dogmin, Giricahyo, Kabupaten Gunung Kidul",Giricahyo,Gunung Kidul,5.0,4,P69,voli
233,S143,Lapangan Gerdayak Girijati,-8.0040746,110.3470502,"X8WW+9RF, Dringo, Girijati, Kabupaten Gunung Kidul",Girijati,Gunung Kidul,5.0,3,P70,sepak bola
235,V683,Jorong Volleyball Field,-7.9842772,110.3567313,"2984+7MQ, Jorong, Girijati, Kabupaten Gunung Kidul",Girijati,Gunung Kidul,4.4,17,P71,voli
236,S259,Lapangan Kamal,-8.0392449,110.5735721,"Kamal, Wunung, Kabupaten Gunung Kidul",Wunung,Gunung Kidul,4.1,7,P72,sepak bola
237,S680,Lapangan Grogol,-7.980638,110.539903,"2G9Q+PXR, Grogol, Kabupaten Gunung Kidul",Grogol,Gunung Kidul,4.6,5,P73,sepak bola
238,S559,Lapangan Sepak Bola Duwet,-7.9995473,110.5922423,"Jl. Baron Km 3, Dungabah II, Duwet, Kabupaten Gunung Kidul",Duwet,Gunung Kidul,4.2,6,P74,sepak bola
239,S437,Lapangan Desa Mulusan,-8.0076958,110.5444178,"XGRV+WQF, Watugilang A, Mulusan, Kabupaten Gunung Kidul",Mulusan,Gunung Kidul,3.0,3,P75,sepak bola
240,S104,Lapangan Desa Giring,-8.0177468,110.5628272,"XHJ7+W44, Giring, Kabupaten Gunung Kidul",Giring,Gunung Kidul,4.7,7,P76,sepak bola
242,S593,Lapangan Trukan,-8.0093947,110.5345315,"XGRM+6RV, Trukan, Manggul, Karangasem, Kabupaten Gunung Kidul",Karangasem,Gunung Kidul,4.3,17,P77,sepak bola
243,V952,Lapangan Voli Trukan,-8.0096652,110.5351763,"XGQP+X3H, Manggul, Karangasem, Kabupaten Gunung Kidul",Karangasem,Gunung Kidul,4.8,4,P78,voli
245,S857,Lapangan Banjaran,-8.0498233,110.5217495,"Jl. Paliyan Ngobaran No.16, Banjaran, Karangasem, Kabupaten Gunung Kidul",Karangasem,Gunung Kidul,4.4,9,P79,sepak bola
248,V155,Lapangan Bola Voli GavokA,-8.0901971,110.4939413,"WF5V+WHG, Unnamed Road, Klumpit, Kanigoro, Kabupaten Gunung Kidul",Kanigoro,Gunung Kidul,4.9,7,P80,voli
251,V847,Lapangan Tahunan Desa Karangduwet,-8.0005034,110.5086157,"XGX5+QCX, tahunan, Pendem, Karangduwet, Kabupaten Gunung Kidul",Karangduwet,Gunung Kidul,3.3,3,P81,voli
252,V272,Lapangan Bola Voli Dusun Wuluh,-8.0755251,110.5424776,"WGFR+QXQ, Wuluh, Planjan, Kabupaten Gunung Kidul",Planjan,Gunung Kidul,5.0,4,P82,voli
253,S381,Lapangan Karang,-8.095741,110.612172,"WJ36+PV3, Bruno II, Ngestirejo, Kabupaten Gunung Kidul",Ngestirejo,Gunung Kidul,3.6,10,P83,sepak bola
255,S497,Lapangan Ngrasak Temuireng,-8.1054766,110.6905027,"VMVR+R62, Temuireng,, Trenggulin, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,4.6,10,P84,sepak bola
256,S722,Lapangan Padangan,-8.0969762,110.5996962,"WH3X+6V4, Unnamed Road, Weru, Banjarejo, Kabupaten Gunung Kidul",Banjarejo,Gunung Kidul,3.9,18,P85,sepak bola
258,V204,Lapangan Tepus,-8.1265837,110.6459626,"VJFW+998, Jl. Pantai Sel. Jawa, Dongsari, Tepus, Kabupaten Gunung Kidul",Tepus,Gunung Kidul,4.3,4,P86,voli
260,S717,Lapangan Nglerak,-8.08042,110.6804682,"WM9J+R5P, Klepu, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,4.7,3,P87,sepak bola
261,V733,Lapangan Atip Manunggal,-8.1486185,110.687055,"VM2P+HR3, Kotekan, Wuluh, Purwodadi, Kabupaten Gunung Kidul",Purwodadi,Gunung Kidul,3.5,6,P88,voli
262,V579,Lapangan Bola Volly Candra  Bolang Giripanggung,-8.0932337,110.6749978,"Bolang, RT.04/RW.06, Bolang, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,4.1,14,P89,voli
264,V824,Lap Bola Volly Dusun Regedeg,-8.0876445,110.678299,"WM6H+M4C, Regedeg, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,5.0,7,P90,voli
268,S205,Lapangan Mendang,-8.0716559,110.6147045,"WJH7+8VP, Kedu, Ngestirejo, Kabupaten Gunung Kidul",Ngestirejo,Gunung Kidul,4.2,12,P91,sepak bola
269,V354,Padmanaba Volleyball Field,-8.0713412,110.5743446,"WHHF+FP9, Kemin, Kemiri, Kabupaten Gunung Kidul",Kemiri,Gunung Kidul,4.8,4,P92,voli
271,V380,Lapangan Volly Tunas Manunggal,-8.0513739,110.639818,"WJXQ+FW4, Canduhan, Hargosari, Kabupaten Gunung Kidul",Hargosari,Gunung Kidul,3.8,4,P93,voli
272,V916,Lapangan Bola Volly Porpura,-8.0702378,110.5856247,"WHHP+W65, Jl. Guyangan Kidul, Guyangan, Kemiri, Kabupaten Gunung Kidul",Kemiri,Gunung Kidul,4.8,5,P94,voli
274,V468,Lapagan Volly Marutho,-8.037976,110.6274171,"XJ6G+RX3, Kuwangen Kidul, Pacarejo, Kabupaten Gunung Kidul",Pacarejo,Gunung Kidul,5.0,3,P95,voli
277,V121,Lapangan Voli Plalar,-8.1216574,110.7423595,"VPHR+8WQ, Plalar, RT.29/RW.08, Pakel, Pringombo, Kabupaten Gunung Kidul",Pringombo,Gunung Kidul,4.3,8,P96,voli
279,S636,Lapangan Wetan Jlubang,-8.0377795,110.7495451,"XP6X+VRM, Dusun Ngejring, Desa, Mekong, Karangwuni, Kabupaten Gunung Kidul",Karangwuni,Gunung Kidul,3.6,17,P97,sepak bola
280,S370,Lapangan Sepak Bola Tlogo Mati Siyono,-8.0977593,110.7380334,"WP2Q+V6V, Siyono C, Petir, Kabupaten Gunung Kidul",Petir,Gunung Kidul,4.3,11,P98,sepak bola
281,V732,Gelora Bimmov Bungmanis,-8.0514192,110.7394236,"Jl. Bungmanis, Pucanganom B, Pucanganom, Kabupaten Gunung Kidul",Pucanganom,Gunung Kidul,4.0,6,P99,voli
282,S572,Lapangan Tambak,-8.1101505,110.7680296,"VQQ9+W6J, Tambak, Melikan, Kabupaten Gunung Kidul",Melikan,Gunung Kidul,4.8,5,P100,sepak bola
283,S604,Lapangan Bola Miri,-8.1178052,110.7363071,"VPJP+VGF, Ngendoringan, Pringombo, Kabupaten Gunung Kidul",Pringombo,Gunung Kidul,4.7,3,P101,sepak bola
286,V390,Lapangan Baktimuda,-8.1130309,110.7089294,"Gunungbutak RT04/RW13, Pringapus, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,4.6,7,P102,voli
287,S754,Lapangan Sepakbola Dayaan,-8.134172,110.7262699,"VP8G+8GJ, Weru, Botodayaan, Kabupaten Gunung Kidul",Botodayaan,Gunung Kidul,4.6,7,P103,sepak bola
288,S931,Lapangan Banjar,-8.1043411,110.7031597,"VPW3+777, Gn. Bunthak, Giripanggung, Kabupaten Gunung Kidul",Giripanggung,Gunung Kidul,4.0,10,P104,sepak bola
294,S993,Lapangan Karangmojo,-7.9516873,110.6763299,"2MXG+8GG, Gedang Rejo, Gedangrejo, Kabupaten Gunung Kidul",Gedangrejo,Gunung Kidul,4.2,5,P105,sepak bola
297,V150,Lapangan Bola Voli Ngrejek,-8.0291718,110.7020083,"XPC2+8RJ, Unnamed Road, Ngrejek Wetan, Gombang, Kabupaten Gunung Kidul",Gombang,Gunung Kidul,4.1,8,P106,voli
298,S731,Lapangan Nggawok,-7.9547336,110.6860291,"Jl. Karangmojo No.16, Karang Mojo II, Karangmojo, Kabupaten Gunung Kidul",Karangmojo,Gunung Kidul,4.6,7,P107,sepak bola
299,S975,Lapangan Telogo Timbo,-8.0178909,110.6889242,"XMJQ+RHV, Pakrandu, Gombang, Kabupaten Gunung Kidul",Gombang,Gunung Kidul,4.0,7,P108,sepak bola
300,S681,Lapangan Sepak Bola,-7.9890462,110.6934662,"2M6V+99P, Bolo Dukuh Kidul, Sidorejo, Kabupaten Gunung Kidul",Sidorejo,Gunung Kidul,2.3,3,P109,sepak bola
302,S766,Lapangan Sumber Seng,-7.9714895,110.6731159,"2MHF+C65, Coyudan 2, Ngipak, Kabupaten Gunung Kidul",Ngipak,Gunung Kidul,4.3,4,P110,sepak bola
304,S94,Lapangan Gombang Ponjong,-8.0199115,110.7020845,"XPJ2+2RP, Sawit Lor, Gombang, Kabupaten Gunung Kidul",Gombang,Gunung Kidul,4.3,8,P111,sepak bola
305,S651,Lapangan Genjahan,-7.9537789,110.7138017,"2PW7+FGM, Genjahan, Kabupaten Gunung Kidul",Genjahan,Gunung Kidul,4.3,3,P112,sepak bola
307,S658,Lapangan Sumbergiri,-7.961867,110.7238751,"2PQF+7H2, Sumber Giri, Sumbergiri, Kabupaten Gunung Kidul",Sumbergiri,Gunung Kidul,4.8,12,P113,sepak bola
310,S426,Lapangan Bola Prampelan,-7.9750419,110.7598138,"2QF5+XWP, Prampelan, Prampelan I, Kenteng, Kabupaten Gunung Kidul",Kenteng,Gunung Kidul,4.5,15,P114,sepak bola
313,S396,Lapangan Parikesit,-7.9973337,110.6712545,"2M3C+3G6, Gn. Sari, Ngeposari, Kabupaten Gunung Kidul",Ngeposari,Gunung Kidul,4.3,4,P115,sepak bola
314,S22,Tanah Lapang Sokoliman,-7.9177143,110.6583644,"3MJ5+W89, Jl. Sokoliman 2, Sokoliman I, Bejiharjo, Kabupaten Gunung Kidul",Bejiharjo,Gunung Kidul,4.2,19,P116,sepak bola
316,S103,Lapangan Surodadi,-7.9096553,110.717831,"3PR9+44P, Unnamed Road, Surodadi, Umbulrejo, Kabupaten Gunung Kidul",Umbulrejo,Gunung Kidul,4.7,7,P117,sepak bola
324,S295,Lapangan Desa Bandung,-7.9253219,110.5628887,"Jl. Jogja - Wonosari No.8, Jambu Rejo, Bandung, Kabupaten Gunung Kidul",Bandung,Gunung Kidul,4.1,8,P118,sepak bola
325,S280,Lapangan Desa Dengok,-7.9529535,110.5284537,"2GWH+R98, Dengok V, Dengok, Kabupaten Gunung Kidul",Dengok,Gunung Kidul,4.4,16,P119,sepak bola
328,V272,Lapangan Voli Gubukrubuh,-7.9378452,110.5053623,"3G64+V48, Gubuk Rubuh, Getas, Kabupaten Gunung Kidul",Getas,Gunung Kidul,4.8,5,P120,voli
331,S273,Lapangan Patuk,-7.8505244,110.4793951,"Jl. Dlingo-Patuk No.16, Patuk, Kabupaten Gunung Kidul",Patuk,Gunung Kidul,4.0,7,P121,sepak bola
332,S661,Lapangan Mberan,-7.8735785,110.5555104,"Jl. Sambipitu Nglipar No.1945, Trukan, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,3.5,8,P122,sepak bola
333,S437,Lapangan Desa Nglangeran,-7.8579243,110.5143892,"4GR7+RQJ, Doga, Nglanggeran, Kabupaten Gunung Kidul",Nglanggeran,Gunung Kidul,4.5,4,P123,sepak bola
334,S707,Lapangan Semoyo,-7.8804798,110.4825812,"4F9M+R24, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,3.7,3,P124,sepak bola
335,S772,Lapangan NgoroOro,-7.8356254,110.5254407,"5G7G+P5V, Sengoran, Ngoro-oro, Kabupaten Gunung Kidul",Ngoro-oro,Gunung Kidul,4.3,3,P125,sepak bola
337,S22,Lapangan Bola Voli Srumbung,-7.881468,110.4857308,"4F9P+C79, Pengkok, Patuk, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,3.4,8,P126,sepak bola
338,S629,Lapangan Voli Langgeng Utama  ,-7.8874704,110.5453318,"Bunder,14/04, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,4.0,9,P127,sepak bola
341,S482,Lapangan Voli Pugeran,-7.8723069,110.4745121,"4FHF+3RC, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,4.4,12,P128,sepak bola
343,S260,Lapangan Ngalang,-7.8808272,110.5750212,"4H9G+M26, Sumberejo, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.3,7,P129,sepak bola
344,S580,Lapangan Desa Hargomulyo,-7.8425013,110.5913963,"5H4R+XHR, Pace A, Hargomulyo, Kabupaten Gunung Kidul",Hargomulyo,Gunung Kidul,4.7,13,P130,sepak bola
346,S3,Lapangan Gojo,-7.8708552,110.6232288,"4JHF+M75, Gojo, Kedungpoh, Kabupaten Gunung Kidul",Kedungpoh,Gunung Kidul,3.7,3,P131,sepak bola
348,S87,Lapangan Volly Tunas Fajar Merah,-7.8843469,110.5819949,"4H8J+7Q9, Kenteng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.3,3,P132,sepak bola
350,S488,Lapangan Voley Kembang,-7.864705,110.5589034,"4HP5+4H6, Nglegi, Kabupaten Gunung Kidul",Nglegi,Gunung Kidul,4.0,3,P133,sepak bola
351,S489,Nvc,-7.8788589,110.5809578,"4HCJ+F94, Melikan, Ngasem, Wareng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.5,8,P134,sepak bola
352,S568,Official Tunas Gk Volleyball Club,-7.8845893,110.5821807,"4H8J+5V7, Kenteng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.0,4,P135,sepak bola
355,S873,Kwarasan Kulon Field,-7.9039138,110.6143467,"3JW7+CPQ, Kwarasan Kulon, Kedung Keris, Kabupaten Gunung Kidul",Kedung Keris,Gunung Kidul,3.8,17,P136,sepak bola
361,S182,Lapangan Semin,-7.8656798,110.7329305,"4PMM+P5F, Semin, Kabupaten Gunung Kidul",Semin,Gunung Kidul,4.3,11,P137,sepak bola
363,S107,Lapangan Watusigar,-7.8640291,110.6896953,"4MPQ+9VP, Watusigar, Kabupaten Gunung Kidul",Watusigar,Gunung Kidul,4.2,18,P138,sepak bola
365,S52,Stadion Sepak Bola Ngawen,-7.8468543,110.6821996,"5M3J+7V4, Grojokan, Beji, Kabupaten Gunung Kidul",Beji,Gunung Kidul,4.8,4,P139,sepak bola
366,F454,Lapangan PencilBendung,-7.8503009,110.7264686,"4PXG+VHJ, Pencil, Bendung, Kabupaten Gunung Kidul",Bendung,Gunung Kidul,4.8,5,P140,futsal
